"","as.character.xcastchar.V2."
"1","Gillian Anderson"
"2","David Duchovny"
"3","Mitch Pileggi"
"4","Robert Patrick"
"5","Tom Braidwood"
"6","William B. Davis"
"7","Bruce Harwood"
"8","Dean Haglund"
"9","Nicholas Lea"
"10","Annabeth Gish"
"11","James Pickens Jr."
"12","Sheila Larken"
"13","Steven Williams"
"14","Don S. Williams"
"15","Chris Owens"
"16","Jerry Hardin"
"17","Rebecca Toolan"
"18","Brian Thompson"
"19","Laurie Holden"
"20","Arlene Warren"
"21","Brendan Beiser"
"22","John Neville"
"23","Bill Dow"
"24","Peter Donat"
"25","Mimi Rogers"
"26","Travis Riker"
"27","Charles Cioffi"
"28","Morris Panych"
"29","Vanessa Morley"
"30","John Moore"
"31","Cary Elwes"
"32","Zachary Ansley"
"33","James Riker"
"34","Michael David Simms"
"35","Ken Camroux"
"36","Veronica Cartwright"
"37","Floyd 'Red Crow' Westerman"
"38","William MacDonald"
"39","Doug Abrahams"
"40","Forbes Angus"
"41","Bonnie Hay"
"42","Lenno Britos"
"43","Megan Leitch"
"44","Malcolm Stewart"
"45","John Finn"
"46","Jeff Gulka"
"47","Bob Wilde"
"48","Adam Baldwin"
"49","Kirk B.R. Woller"
"50","Melinda McGraw"
"51","Michael McKean"
"52","Pat Skipper"
"53","Larry Musser"
"54","Garry Davey"
"55","Chilton Crane"
"56","Dwight McFee"
"57","Andrew Johnston"
"58","Michael Puttonen"
"59","Steve Makaj"
"60","Peter Kelamis"
"61","Mitchell Kosterman"
"62","Gordon Tipple"
"63","George Murdock"
"64","Paul Anthony McLean"
"65","Lesley Ewen"
"66","Don Thompson"
"67","Angelo Vacco"
"68","Roger R. Cross"
"69","Don MacKay"
"70","Lauren Diewold"
"71","Gillian Barber"
"72","Hrothgar Mathews"
"73","David Fredericks"
"74","Michael Dobson"
"75","Harrison Coe"
"76","Campbell Lane"
"77","Eric Breker"
"78","Raoul Ganeev"
"79","John Sampson"
"80","Geoff Redknap"
"81","Raymond J. Barry"
"82","John Pyper-Ferguson"
"83","Scott Bellis"
"84","Tom McBeath"
"85","Timothy Webber"
"86","Henry Beckman"
"87","Peter LaCroix"
"88","Kevin McNulty"
"89","Stephen E. Miller"
"90","Lorena Gale"
"91","Ken Kramer"
"92","Colin Cunningham"
"93","Alex Diakun"
"94","Christine Willes"
"95","Deryl Hayes"
"96","P. Lynn Johnson"
"97","Tasha Simms"
"98","Jim Jansen"
"99","Alf Humphreys"
"100","Glynis Davies"
"101","Dmitry Chepovetsky"
"102","Steve Bacic"
"103","Norma Jean Wick"
"104","Barry W. Levy"
"105","Jerry Schram"
"106","J.B. Bivens"
"107","Julia Vera"
"108","David Lewis"
"109","Arnie Walters"
"110","Craig Bruhnanski"
"111","Robert Lewis"
"112","Alan Dale"
"113","Christopher Stapleton"
"114","Roy Thinnes"
"115","Robin Mossley"
"116","Marc Baur"
"117","Walter Marsh"
"118","Dean Aylesworth"
"119","Rick Dobran"
"120","Brent Chapman"
"121","Wayne Alexander"
"122","Carrie Cain-Sparks"
"123","Terry O'Quinn"
"124","Jay Acovone"
"125","Sarah Koskoff"
"126","Jenny-Lynn Hutcheson"
"127","Brent Stait"
"128","Colin Lawrence"
"129","Steve Kiziak"
"130","Anthony Harrison"
"131","Brad Loree"
"132","Kate Braidwood"
"133","Warren Sweeney"
"134","Robert Beckwith"
"135","Laura Leigh Hughes"
"136","Tony Morelli"
"137","Anatol Rezmeritza"
"138","Jenn Forgie"
"139","Martin Evans"
"140","Sal Landi"
"141","Victoria Gallegos"
"142","Judson Scott"
"143","Doug Hutchison"
"144","Steve Railsback"
"145","Brian Markinson"
"146","Willie Garson"
"147","Stephen McHattie"
"148","Signy Coleman"
"149","Joe Spano"
"150","Darin Morgan"
"151","John Mahon"
"152","Lindsey Ginter"
"153","Tom O'Brien"
"154","Fredric Lehne"
"155","Joel Palmer"
"156","Kate Twa"
"157","Robert Wisden"
"158","Michael B. Silver"
"159","Michael MacRae"
"160","Blu Mankuma"
"161","Kerry Sandomirsky"
"162","Alex Bruhanski"
"163","Matthew Walker"
"164","Don S. Davis"
"165","Robert Ito"
"166","Karri Turner"
"167","Colleen Winton"
"168","George Touliatos"
"169","Robert Clothier"
"170","Michele Goodger"
"171","Sarah-Jane Redmond"
"172","Chris Nelson Norris"
"173","Scott Allan Campbell"
"174","Tom Butler"
"175","Hiro Kanagawa"
"176","Callum Keith Rennie"
"177","Gabrielle Rose"
"178","Merrilyn Gann"
"179","Allan Lysell"
"180","Fred Henderson"
"181","Robert Rozen"
"182","Karin Konoval"
"183","Sheila Moore"
"184","Renae Morriseau"
"185","Leslie Carlson"
"186","Dean Wray"
"187","Bill Croft"
"188","Robert Thurston"
"189","Susan Bain"
"190","Bob Morrisey"
"191","Gerard Plunkett"
"192","Ron Sauvé"
"193","Jay Brazeau"
"194","Frank C. Turner"
"195","Gabrielle Miller"
"196","Greg Michaels"
"197","Darren McGavin"
"198","Jim Fyfe"
"199","Jerry Wasserman"
"200","Denalda Williams"
"201","Nicole Parker"
"202","Ken Tremblett"
"203","Paul Batten"
"204","Meredith Bain Woodward"
"205","Kate Robbins"
"206","Donna Yamamoto"
"207","Stephen Dimopoulos"
"208","Tyler Labine"
"209","Patricia Dahlquist"
"210","David Cameron"
"211","Alan Robertson"
"212","Lynda Boyd"
"213","Alvin Sanders"
"214","Barry Greene"
"215","Fulvio Cecere"
"216","Robert Moloney"
"217","Tim Henry"
"218","Jane Perry"
"219","Joseph Patrick Finn"
"220","John Maclaren"
"221","Ken Roberts"
"222","Neal McDonough"
"223","Sheila Paterson"
"224","Johnny Cuthbert"
"225","James Leard"
"226","John Payne"
"227","Garvin Cross"
"228","Stuart O'Connell"
"229","Nora Dunn"
"230","Ric Reid"
"231","Suleka Mathew"
"232","Ian Robison"
"233","Alex Shostak Jr."
"234","Janie Woods-Morris"
"235","Gary Hetherington"
"236","BJ Harrison"
"237","Paul Bittante"
"238","Tim Dixon"
"239","Crystal Verge"
"240","George Josef"
"241","Denis Forest"
"242","McNally Sagal"
"243","Katya Gardner"
"244","Michael Rogers"
"245","Lisa Ann Beley"
"246","Peter Lapres"
"247","Dakota House"
"248","Julia Arkos"
"249","Rob Freeman"
"250","Tyler Binkley"
"251","Dara Hollingsworth"
"252","Al Ruscio"
"253","Tom Heaton"
"254","D. Neil Mark"
"255","Roger Haskett"
"256","Ryan Michael"
"257","Mark Saunders"
"258","Jaap Broeker"
"259","Beatrice Zeilanger"
"260","John Trottier"
"261","Tom Scholte"
"262","Brent Sheppard"
"263","David Palffy"
"264","Oliver Becker"
"265","Nancy Kerr"
"266","Frank Ertl"
"267","Maria Herrera"
"268","Kimberly Unger"
"269","Kathleen Duborg"
"270","Linden Banks"
"271","Mark Wilson"
"272","André Daniels"
"273","Joe Maffei"
"274","Bobby Stewart"
"275","Rick Garcia"
"276","Tegan Moss"
"277","Ernie Foort"
"278","Mitchell Davies"
