"","x"
"sculli",0.990049751243781
"find",0.935323383084577
"mulder",0.890547263681592
"agent",0.845771144278607
"kill",0.781094527363184
"tell",0.781094527363184
"later",0.746268656716418
"meanwhil",0.73134328358209
"believ",0.721393034825871
"arriv",0.661691542288557
"man",0.651741293532338
"one",0.63681592039801
"leav",0.616915422885572
"meet",0.611940298507463
"see",0.606965174129353
"bodi",0.597014925373134
"investig",0.597014925373134
"reveal",0.592039800995025
"howev",0.582089552238806
"two",0.577114427860697
"fbi",0.557213930348259
"discov",0.552238805970149
"return",0.537313432835821
"back",0.532338308457711
"take",0.527363184079602
"claim",0.517412935323383
"visit",0.502487562189055
"die",0.482587064676617
"tri",0.477611940298507
"also",0.472636815920398
"head",0.45771144278607
"home",0.45273631840796
"car",0.442786069651741
"case",0.442786069651741
"dead",0.437810945273632
"found",0.437810945273632
"realiz",0.437810945273632
"appear",0.432835820895522
"attack",0.427860696517413
"insid",0.427860696517413
"show",0.427860696517413
"work",0.422885572139304
"attempt",0.417910447761194
"murder",0.417910447761194
"room",0.417910447761194
"escap",0.412935323383085
"name",0.412935323383085
"anoth",0.407960199004975
"death",0.407960199004975
"ask",0.402985074626866
"inform",0.402985074626866
"look",0.402985074626866
"use",0.402985074626866
"come",0.398009950248756
"goe",0.398009950248756
"get",0.393034825870647
"help",0.393034825870647
"learn",0.393034825870647
"night",0.393034825870647
"time",0.388059701492537
"turn",0.383084577114428
"hospit",0.378109452736318
"caus",0.36318407960199
"skinner",0.36318407960199
"begin",0.353233830845771
"can",0.353233830845771
"confront",0.353233830845771
"hous",0.353233830845771
"offic",0.353233830845771
"shoot",0.353233830845771
"apart",0.348258706467662
"next.",0.348258706467662
"scene",0.348258706467662
"say",0.343283582089552
"day",0.338308457711443
"explain",0.338308457711443
"forc",0.328358208955224
"make",0.328358208955224
"give",0.323383084577114
"search",0.318407960199005
"disappear",0.308457711442786
"away",0.303482587064677
"order",0.303482587064677
"polic",0.303482587064677
"stop",0.303482587064677
"soon",0.298507462686567
"sudden",0.298507462686567
"year",0.298507462686567
"alien",0.293532338308458
"gun",0.293532338308458
"question",0.293532338308458
"run",0.293532338308458
"seem",0.293532338308458
"talk",0.293532338308458
"victim",0.293532338308458
"evid",0.283582089552239
"men",0.283582089552239
"miss",0.278606965174129
"mysteri",0.278606965174129
"report",0.27363184079602
"hand",0.26865671641791
"local",0.26865671641791
"new",0.26865671641791
"upon",0.26865671641791
"xfile",0.26865671641791
"becom",0.263681592039801
"lead",0.263681592039801
"think",0.263681592039801
"want",0.263681592039801
"woman",0.263681592039801
"convinc",0.258706467661692
"enter",0.258706467661692
"phone",0.258706467661692
"door",0.253731343283582
"father",0.253731343283582
"open",0.253731343283582
"watch",0.253731343283582
"first",0.248756218905473
"hear",0.248756218905473
"know",0.248756218905473
"life",0.248756218905473
"outsid",0.248756218905473
"someon",0.248756218905473
"contain",0.243781094527363
"fire",0.243781094527363
"now",0.243781094527363
"receiv",0.243781094527363
"refus",0.243781094527363
"seen",0.243781094527363
"sever",0.243781094527363
"still",0.243781094527363
"taken",0.243781094527363
"abduct",0.238805970149254
"abl",0.238805970149254
"autopsi",0.238805970149254
"drive",0.238805970149254
"experi",0.238805970149254
"perform",0.238805970149254
"decid",0.233830845771144
"group",0.233830845771144
"happen",0.233830845771144
"instead",0.233830845771144
"like",0.233830845771144
"nearbi",0.233830845771144
"place",0.233830845771144
"track",0.233830845771144
"assist",0.228855721393035
"end",0.228855721393035
"flee",0.228855721393035
"notic",0.228855721393035
"shot",0.228855721393035
"suspect",0.228855721393035
"cover",0.223880597014925
"episod",0.223880597014925
"pull",0.223880597014925
"remain",0.223880597014925
"similar",0.223880597014925
"way",0.223880597014925
"aliv",0.218905472636816
"approach",0.218905472636816
"arrest",0.218905472636816
"earlier",0.218905472636816
"just",0.218905472636816
"person",0.218905472636816
"smoke",0.218905472636816
"walk",0.218905472636816
"blood",0.213930348258706
"examin",0.213930348258706
"face",0.213930348258706
"last",0.213930348258706
"previous",0.208955223880597
"admit",0.203980099502488
"break.",0.203980099502488
"former",0.203980099502488
"mother",0.203980099502488
"present",0.203980099502488
"state",0.203980099502488
"three",0.203980099502488
"doggett",0.199004975124378
"due",0.199004975124378
"eventu",0.199004975124378
"actual",0.194029850746269
"bring",0.194029850746269
"destroy",0.194029850746269
"doctor",0.194029850746269
"light",0.194029850746269
"old",0.194029850746269
"peopl",0.194029850746269
"son",0.194029850746269
"start",0.194029850746269
"told",0.194029850746269
"washington",0.194029850746269
"afterward",0.189054726368159
"along",0.189054726368159
"cut",0.189054726368159
"despit",0.189054726368159
"given",0.189054726368159
"human",0.189054726368159
"note",0.189054726368159
"releas",0.189054726368159
"sister",0.189054726368159
"continu",0.18407960199005
"involv",0.18407960199005
"locat",0.18407960199005
"member",0.18407960199005
"near",0.18407960199005
"travel",0.18407960199005
"burn",0.17910447761194
"part",0.17910447761194
"save",0.17910447761194
"sinc",0.17910447761194
"behind",0.174129353233831
"chase",0.174129353233831
"contact",0.174129353233831
"detect",0.174129353233831
"event",0.174129353233831
"hold",0.174129353233831
"around",0.169154228855721
"director",0.169154228855721
"let",0.169154228855721
"manag",0.169154228855721
"morn",0.169154228855721
"partner",0.169154228855721
"pass",0.169154228855721
"put",0.169154228855721
"someth",0.169154228855721
"test",0.169154228855721
"wound",0.169154228855721
"captur",0.164179104477612
"crime",0.164179104477612
"demand",0.164179104477612
"fall",0.164179104477612
"file",0.164179104477612
"final",0.164179104477612
"govern",0.164179104477612
"medic",0.164179104477612
"power",0.164179104477612
"warn",0.164179104477612
"although",0.159203980099502
"build",0.159203980099502
"cell",0.159203980099502
"discuss",0.159203980099502
"larg",0.159203980099502
